group,artifact
org.codehaus.mojo,exec-maven-plugin
org.craftercms,crafter-engine
org.craftercms,crafter-studio
org.eclipse.jetty.http2,http2-server
org.eclipse.jetty,jetty-io
org.eclipse.jetty,jetty-server
org.eclipse.jetty,jetty-webapp
org.elasticsearch,elasticsearch
org.glassfish,jakarta.el
org.glassfish,javax.el
org.grails,grails-databinding
org.hibernate,hibernate-core
org.http4s,blaze-core_2.11
org.http4s,blaze-core_2.12
org.http4s,http4s-blaze-server_2.12
org.http4s,http4s-blaze-server_2.13
org.http4s,http4s-core_2.12
org.http4s,http4s-core_2.13
org.http4s,http4s-core_3
org.http4s,http4s-server_2.12
org.http4s,http4s-server_2.13
org.infinispan,infinispan-server-rest
org.jboss.remoting,jboss-remoting
org.jboss.resteasy,resteasy-core
org.jdom,jdom
org.jdom,jdom2
org.jenkins-ci.plugins.workflow,workflow-cps
org.jenkins-ci.plugins,script-security
org.jenkins-ci.plugins,teamconcert
org.jolokia,jolokia-core
org.jsoup,jsoup
org.jyaml,jyaml
org.keycloak,keycloak-core
org.keycloak,keycloak-services
org.lucee,lucee
org.mapfish.print,print-lib
org.mapfish.print,print-servlet
org.mitre,openid-connect-server
org.mock-server,mockserver-core
org.mortbay.jetty,jetty
org.neo4j.procedure,apoc
org.neo4j,neo4j-cypher
org.openapitools,openapi-generator-online
org.opencastproject,opencast-caption-impl
org.opencastproject,opencast-caption-remote
org.opencastproject,opencast-common
org.opencastproject,opencast-common-jpa-impl
org.opencastproject,opencast-composer-service-api
org.opencastproject,opencast-cover-image-impl
org.opencastproject,opencast-distribution-service-adaptive-streaming-wowza
org.opencastproject,opencast-fileupload
org.opencastproject,opencast-kernel
org.opencastproject,opencast-oaipmh-api
org.opencastproject,opencast-search-service-api
org.opencastproject,opencast-security-aai
org.opencastproject,opencast-silencedetection-api
org.opencastproject,opencast-smil-impl
org.opencastproject,opencast-userdirectory-sakai
org.opencms,opencms-core
org.openidentityplatform.openam,openam-auth-nt
org.postgresql,postgresql
org.richfaces.core,richfaces-core-impl
org.richfaces,richfaces
org.rundeck,rundeck
org.rundeck,rundeck-core
org.sonatype.nexus,nexus-repository
org.springframework.cloud,spring-cloud-config-server
org.springframework.cloud,spring-cloud-gateway-server
org.springframework.cloud,spring-cloud-netflix-hystrix-dashboard
org.springframework.cloud,spring-cloud-openfeign-core
org.springframework.data,spring-data-mongodb
org.springframework.security,spring-security-saml2-service-provider
org.springframework.security,spring-security-web
org.springframework,spring-core
org.springframework,spring-web
org.thymeleaf,thymeleaf-spring5
xalan,xalan
